,id_code,dataSet
0,0005cfc8afb6,data/resized test 19
1,003f0afdcd15,data/resized test 19
2,006efc72b638,data/resized test 19
3,00836aaacf06,data/resized test 19
4,009245722fa4,data/resized test 19
5,009c019a7309,data/resized test 19
6,010d915e229a,data/resized test 19
7,0111b949947e,data/resized test 19
8,01499815e469,data/resized test 19
9,0167076e7089,data/resized test 19
10,01c31b10ab99,data/resized test 19
11,01c5ba195207,data/resized test 19
12,01e4d86b3a30,data/resized test 19
13,020921b796d5,data/resized test 19
14,020f6983114d,data/resized test 19
15,021c207614d6,data/resized test 19
16,0229c0a80d42,data/resized test 19
17,024d0a225db1,data/resized test 19
18,0268f4382c67,data/resized test 19
19,0299d97f31f7,data/resized test 19
20,03042a663e54,data/resized test 19
21,030e06ddbb04,data/resized test 19
22,033cdbbbdfaa,data/resized test 19
23,03be80919be4,data/resized test 19
24,03eaa4eef484,data/resized test 19
25,0434995d0654,data/resized test 19
26,04a0773c71fb,data/resized test 19
27,04e1b77ef107,data/resized test 19
28,051d9d12a6ee,data/resized test 19
29,052e00f47cfa,data/resized test 19
30,06035cfbcc18,data/resized test 19
31,061e7dab2b76,data/resized test 19
32,0622a0f615db,data/resized test 19
33,062ed40f5272,data/resized test 19
34,0654cdd3c01a,data/resized test 19
35,065cb18bb0b2,data/resized test 19
36,069037e82135,data/resized test 19
37,069ebdb1023d,data/resized test 19
38,06cdd3f3f262,data/resized test 19
39,06daa7390238,data/resized test 19
40,06e60df1823e,data/resized test 19
41,0737dfb0a164,data/resized test 19
42,0749255f718d,data/resized test 19
43,07685fac659a,data/resized test 19
44,079e029f3b2e,data/resized test 19
45,07d8d154e752,data/resized test 19
46,081c7ec32f27,data/resized test 19
47,082c7ccb536a,data/resized test 19
48,082fc6f323a1,data/resized test 19
49,086727c22b75,data/resized test 19
50,087966da55c2,data/resized test 19
51,08a5afa9d62c,data/resized test 19
52,08cfae721bd8,data/resized test 19
53,08dc27511636,data/resized test 19
54,0904fcd03369,data/resized test 19
55,0928150bb29a,data/resized test 19
56,0946ae407745,data/resized test 19
57,0952ca2ece1c,data/resized test 19
58,096d6bb6546b,data/resized test 19
59,097614f1dcae,data/resized test 19
60,09855c888f9f,data/resized test 19
61,09b5e952f996,data/resized test 19
62,09d32c9008ca,data/resized test 19
63,0a0780ad3395,data/resized test 19
64,0a262e8b2a5a,data/resized test 19
65,0a2b5e1a0be8,data/resized test 19
66,0ad36156ad5d,data/resized test 19
67,0aebb1b2aef1,data/resized test 19
68,0af080866c24,data/resized test 19
69,0af338c60d2d,data/resized test 19
70,0b121d798018,data/resized test 19
71,0b65c09c7bac,data/resized test 19
72,0b88274d5d7d,data/resized test 19
73,0ba16f32500e,data/resized test 19
74,0bab4b301d71,data/resized test 19
75,0bfa8ea173d6,data/resized test 19
76,0c39fa1f2cfa,data/resized test 19
77,0c7e40a82c60,data/resized test 19
78,0c7e66a53ce3,data/resized test 19
79,0ca261d6e31d,data/resized test 19
80,0cad3584e761,data/resized test 19
81,0ccfca342907,data/resized test 19
82,0d1610cda7fc,data/resized test 19
83,0d1c7806f918,data/resized test 19
84,0d2c1ae24459,data/resized test 19
85,0d38fb1ec22d,data/resized test 19
86,0d564d76c97c,data/resized test 19
87,0ddb0dbbef76,data/resized test 19
88,0df488d86631,data/resized test 19
89,0e052b0dec40,data/resized test 19
90,0e107399795b,data/resized test 19
91,0e428b886e07,data/resized test 19
92,0e86fbc6cb8b,data/resized test 19
93,0e9d6c70eaf7,data/resized test 19
94,0eb6e41a8658,data/resized test 19
95,0ecaf177e85f,data/resized test 19
96,0ed192cd67a2,data/resized test 19
97,0edc0c33e929,data/resized test 19
98,0ee72c039036,data/resized test 19
99,0ef1f5075178,data/resized test 19
100,0f1613975335,data/resized test 19
101,0f1a967313c3,data/resized test 19
102,0f23c3028206,data/resized test 19
103,0f61878bfd0e,data/resized test 19
104,0f8fc606e17c,data/resized test 19
105,0f96e3e4a5a0,data/resized test 19
106,0fa8a299f431,data/resized test 19
107,0fb31b7aef5f,data/resized test 19
108,0fb78ccb86f8,data/resized test 19
109,0fd68a854aa1,data/resized test 19
110,100d678b8125,data/resized test 19
111,10205b883f26,data/resized test 19
112,10249038e07f,data/resized test 19
113,10407824638c,data/resized test 19
114,106dac320289,data/resized test 19
115,10c9d368f264,data/resized test 19
116,10df48fe8c6c,data/resized test 19
117,1136833be435,data/resized test 19
118,113971387d87,data/resized test 19
119,119c13369239,data/resized test 19
120,11dc8d4a66a7,data/resized test 19
121,11f10a8be429,data/resized test 19
122,12411c037cfb,data/resized test 19
123,1248275c3f91,data/resized test 19
124,1278c303e03e,data/resized test 19
125,127976eab419,data/resized test 19
126,1282d33e6fbc,data/resized test 19
127,128b94971423,data/resized test 19
128,13065b0ff1e0,data/resized test 19
129,130887394f97,data/resized test 19
130,1326dad5651f,data/resized test 19
131,132e1876157b,data/resized test 19
132,133f96f06473,data/resized test 19
133,1388399910c7,data/resized test 19
134,13a444b80681,data/resized test 19
135,13e28ec4534a,data/resized test 19
136,140c4f64fca3,data/resized test 19
137,1466c7e5936e,data/resized test 19
138,146edf3ba156,data/resized test 19
139,148e913a3cb7,data/resized test 19
140,1491b52c49e4,data/resized test 19
141,14a4f23b07a5,data/resized test 19
142,14ab77198610,data/resized test 19
143,153a1a1157d8,data/resized test 19
144,15586b5a4a6a,data/resized test 19
145,156350bc41c9,data/resized test 19
146,15a5df617fb1,data/resized test 19
147,1620fa014ccb,data/resized test 19
148,163a8bffdc88,data/resized test 19
149,167d9edb5cc1,data/resized test 19
150,16ae04d67de3,data/resized test 19
151,16ae52b6ac9b,data/resized test 19
152,16cfea326456,data/resized test 19
153,16d36c3d0553,data/resized test 19
154,1719183e95b6,data/resized test 19
155,172eb75bc414,data/resized test 19
156,17403c0714f1,data/resized test 19
157,174be0d1e02d,data/resized test 19
158,1784c33b4f27,data/resized test 19
159,178bf0bd8902,data/resized test 19
160,17b08e34f0ed,data/resized test 19
161,17bed9f69d84,data/resized test 19
162,17f0a333f224,data/resized test 19
163,17fb965efdf3,data/resized test 19
164,18009c3e5653,data/resized test 19
165,1822b6c60784,data/resized test 19
166,1876ac30fdc5,data/resized test 19
167,18b0e7e82204,data/resized test 19
168,18c7998ba166,data/resized test 19
169,18d885cd7f0c,data/resized test 19
170,18e65ae600f3,data/resized test 19
171,18f09deddab7,data/resized test 19
172,1927c7ed6570,data/resized test 19
173,19f165a25974,data/resized test 19
174,19fedfb6c8e1,data/resized test 19
175,1a0a62061725,data/resized test 19
176,1a18d78ffb56,data/resized test 19
177,1a495e43fc7d,data/resized test 19
178,1a6b7f58d488,data/resized test 19
179,1a7fe0c18772,data/resized test 19
180,1ab40e2386ea,data/resized test 19
181,1b1522622a53,data/resized test 19
182,1b4843340486,data/resized test 19
183,1b79278c8cb5,data/resized test 19
184,1ba29885e4ce,data/resized test 19
185,1c241074f213,data/resized test 19
186,1c6139829ba9,data/resized test 19
187,1c62728dd31b,data/resized test 19
188,1c6e15aeb154,data/resized test 19
189,1ca7ecbd29fc,data/resized test 19
190,1ca90de96f99,data/resized test 19
191,1d1539c0fb03,data/resized test 19
192,1d2354eba61d,data/resized test 19
193,1d5a1d9fe2cb,data/resized test 19
194,1d7c4c12769e,data/resized test 19
195,1de193623108,data/resized test 19
196,1e0309115a25,data/resized test 19
197,1e04a80f12dd,data/resized test 19
198,1e15a8fa476f,data/resized test 19
199,1e34e33a0988,data/resized test 19
200,1ed74b13dc38,data/resized test 19
201,1f2018b62574,data/resized test 19
202,1f244c85e046,data/resized test 19
203,1fb1acde9818,data/resized test 19
204,1fb4db8834df,data/resized test 19
205,1ff6e5ec40b4,data/resized test 19
206,20456efc42ad,data/resized test 19
207,2047c76a05da,data/resized test 19
208,204b0837f6c3,data/resized test 19
209,206c526761e4,data/resized test 19
210,207265d7e694,data/resized test 19
211,2099648072a2,data/resized test 19
212,20a955de8a62,data/resized test 19
213,20dd582bf9c7,data/resized test 19
214,2109169f580e,data/resized test 19
215,212fc55744e9,data/resized test 19
216,21326c03723b,data/resized test 19
217,213e9ca67626,data/resized test 19
218,214a244dd49f,data/resized test 19
219,214e78f46682,data/resized test 19
220,21715aad6f7b,data/resized test 19
221,219828b94b41,data/resized test 19
222,21d65a5b8d67,data/resized test 19
223,21da3c4da8ad,data/resized test 19
224,2245678ba096,data/resized test 19
225,224681bb4b7d,data/resized test 19
226,227af2e525a0,data/resized test 19
227,228769e96741,data/resized test 19
228,228e7cf174ae,data/resized test 19
229,22c7ca4863ee,data/resized test 19
230,22c9f6694a99,data/resized test 19
231,22daab4f0786,data/resized test 19
232,22de26199c44,data/resized test 19
233,236c9c9c40c5,data/resized test 19
234,23766fab438c,data/resized test 19
235,23c483b2d9d1,data/resized test 19
236,23c5eba92749,data/resized test 19
237,23e7645e7e39,data/resized test 19
238,23e9b7b14f2d,data/resized test 19
239,2412b2c0e74a,data/resized test 19
240,24206453d834,data/resized test 19
241,2427e06125ae,data/resized test 19
242,24289104b70b,data/resized test 19
243,2430807dfad5,data/resized test 19
244,246efa653ba4,data/resized test 19
245,24d5ed8ba19a,data/resized test 19
246,251f4323b63d,data/resized test 19
247,25217ad0dfae,data/resized test 19
248,256dbdb1821c,data/resized test 19
249,25d98da73248,data/resized test 19
250,25e5dc143433,data/resized test 19
251,25eb93e69a3e,data/resized test 19
252,2603cf87a7e3,data/resized test 19
253,2630d7731c72,data/resized test 19
254,263dde841c5e,data/resized test 19
255,264bb74277a5,data/resized test 19
256,2665a122e8a2,data/resized test 19
257,2677d5c9983e,data/resized test 19
258,267a4f971f1a,data/resized test 19
259,26978370afb3,data/resized test 19
260,26b070e80ae3,data/resized test 19
261,26fa7ce480df,data/resized test 19
262,270a532df702,data/resized test 19
263,273a341b5144,data/resized test 19
264,27c3c04811b6,data/resized test 19
265,28051dcc7861,data/resized test 19
266,28079fa5dac3,data/resized test 19
267,2818509e0fb4,data/resized test 19
268,281c50ee8d6f,data/resized test 19
269,287613276673,data/resized test 19
270,2884eb727858,data/resized test 19
271,2893b2a3cdfe,data/resized test 19
272,28cba3df4fa9,data/resized test 19
273,29003528aadc,data/resized test 19
274,291069435ace,data/resized test 19
275,29112729cdc0,data/resized test 19
276,2917c28c46d5,data/resized test 19
277,2936da8f3f2a,data/resized test 19
278,29749f55270d,data/resized test 19
279,298da7a521cb,data/resized test 19
280,29ca7f9cb14a,data/resized test 19
281,29cb3c00c82e,data/resized test 19
282,29cdebe47a49,data/resized test 19
283,2a153b1c0d2e,data/resized test 19
284,2a18955eeb41,data/resized test 19
285,2abf36e59970,data/resized test 19
286,2ace14876108,data/resized test 19
287,2b3edeb756b9,data/resized test 19
288,2b62b5a21668,data/resized test 19
289,2b6f28934445,data/resized test 19
290,2bb39124c823,data/resized test 19
291,2bd279f7c431,data/resized test 19
292,2c2b9c974ca7,data/resized test 19
293,2c739d725e5e,data/resized test 19
294,2c754e336552,data/resized test 19
295,2c76697bd479,data/resized test 19
296,2c8781c1089d,data/resized test 19
297,2c8d36e41efb,data/resized test 19
298,2c931e49bc58,data/resized test 19
299,2cb697cbcb0b,data/resized test 19
300,2cdd4f04b914,data/resized test 19
301,2ce3c3451e86,data/resized test 19
302,2cea0d33d7a2,data/resized test 19
303,2cfc3041caca,data/resized test 19
304,2d250a5030de,data/resized test 19
305,2d49bf3d67db,data/resized test 19
306,2d6246da3909,data/resized test 19
307,2d639c269faa,data/resized test 19
308,2d64c36a319d,data/resized test 19
309,2da814938e0a,data/resized test 19
310,2dec44360855,data/resized test 19
311,2deec95bbee7,data/resized test 19
312,2e1c2cb1850e,data/resized test 19
313,2e4c87ecc92c,data/resized test 19
314,2e6a99e1df80,data/resized test 19
315,2ea138c85bb1,data/resized test 19
316,2eafcdec6ed9,data/resized test 19
317,2ec041fd9a0c,data/resized test 19
318,2ef886fa090f,data/resized test 19
319,2eff10731599,data/resized test 19
320,2f032374b797,data/resized test 19
321,2f042d9c1376,data/resized test 19
322,2f0e943c8ddc,data/resized test 19
323,2f2920b82e56,data/resized test 19
324,2f31f6d5f7b2,data/resized test 19
325,2f346c794823,data/resized test 19
326,2f5824d3365c,data/resized test 19
327,2f906addeb38,data/resized test 19
328,2f9a5d2c4ee5,data/resized test 19
329,2fb539602f57,data/resized test 19
330,2febc332f628,data/resized test 19
331,2febce215663,data/resized test 19
332,2ffd44200e6f,data/resized test 19
333,3006fdc07d57,data/resized test 19
334,30376d8cde4e,data/resized test 19
335,3040ae4067b0,data/resized test 19
336,305635aaec8a,data/resized test 19
337,308924f570d7,data/resized test 19
338,3099467aeef2,data/resized test 19
339,3099f71a8760,data/resized test 19
340,30e384252334,data/resized test 19
341,315ca7df2c04,data/resized test 19
342,316f294f35ad,data/resized test 19
343,31825463d1e3,data/resized test 19
344,318330f2d44b,data/resized test 19
345,31a6e9b91de3,data/resized test 19
346,31d79157e7c4,data/resized test 19
347,31e9b7060c33,data/resized test 19
348,31f1684bfa1a,data/resized test 19
349,31ff4e7d7d09,data/resized test 19
350,32180eca093d,data/resized test 19
351,326808142745,data/resized test 19
352,326f05b4fef0,data/resized test 19
353,32bb537f9dec,data/resized test 19
354,332770e3dd42,data/resized test 19
355,33712f0c55f1,data/resized test 19
356,3382ab75cc96,data/resized test 19
357,3393ee9e7f29,data/resized test 19
358,33a0fb5161e1,data/resized test 19
359,33b59700691d,data/resized test 19
360,33cd1f67204e,data/resized test 19
361,343b1abb81a0,data/resized test 19
362,349ab243e75c,data/resized test 19
363,34de3550c1be,data/resized test 19
364,34fb98396a24,data/resized test 19
365,3503d1413125,data/resized test 19
366,351aba543dc8,data/resized test 19
367,352fe3e5b3fe,data/resized test 19
368,354003bb216f,data/resized test 19
369,354a0e7a60e2,data/resized test 19
370,3575ff59acc0,data/resized test 19
371,35c2442a20dc,data/resized test 19
372,35dbd229cfa2,data/resized test 19
373,362ee624995d,data/resized test 19
374,366e5c14a7d8,data/resized test 19
375,3670a39e7026,data/resized test 19
376,368271b942fb,data/resized test 19
377,36b9b2f23905,data/resized test 19
378,36d1ae1fcf8d,data/resized test 19
379,371a90136a15,data/resized test 19
380,3738406eb0f4,data/resized test 19
381,37e7e09c2d93,data/resized test 19
382,381be90b1dc0,data/resized test 19
383,3832a69f943a,data/resized test 19
384,38496a64a658,data/resized test 19
385,3873e0266b94,data/resized test 19
386,38b53cec399f,data/resized test 19
387,391b1802dfb5,data/resized test 19
388,3936578169d1,data/resized test 19
389,3943a494fb0d,data/resized test 19
390,397ffea483ef,data/resized test 19
391,398817adaf16,data/resized test 19
392,39a7cac6ac9c,data/resized test 19
393,39b48b299c45,data/resized test 19
394,39b6a6761d64,data/resized test 19
395,39f82967009b,data/resized test 19
396,39ff5807f582,data/resized test 19
397,3a1bdff4e304,data/resized test 19
398,3a23f37fc79e,data/resized test 19
399,3a2b37343edd,data/resized test 19
400,3a2f02646df3,data/resized test 19
401,3a3b00bad960,data/resized test 19
402,3a3d5ebaaec3,data/resized test 19
403,3a5d6cc796f1,data/resized test 19
404,3a70c2d49381,data/resized test 19
405,3a8bcee20143,data/resized test 19
406,3a9890cf2440,data/resized test 19
407,3b8f78e1767f,data/resized test 19
408,3b9ee705c750,data/resized test 19
409,3bab6c115f7d,data/resized test 19
410,3bab7d408b23,data/resized test 19
411,3bbea0616bdc,data/resized test 19
412,3bee147be104,data/resized test 19
413,3c142c3f33d7,data/resized test 19
414,3c1d461434eb,data/resized test 19
415,3c21f8d1fa62,data/resized test 19
416,3c2796e8e8ff,data/resized test 19
417,3c297a4f0464,data/resized test 19
418,3c4329778c68,data/resized test 19
419,3c6bee77688a,data/resized test 19
420,3c9cd9224d05,data/resized test 19
421,3cc1ca3e086b,data/resized test 19
422,3d2e3e4113cc,data/resized test 19
423,3d4d693f7983,data/resized test 19
424,3d83eba14bd2,data/resized test 19
425,3d913f289d77,data/resized test 19
426,3da4e0e38f17,data/resized test 19
427,3db49b4d5a7f,data/resized test 19
428,3dc26a50270e,data/resized test 19
429,3dd629fd6d09,data/resized test 19
430,3df3c5e97663,data/resized test 19
431,3dfe134d5d1c,data/resized test 19
432,3e2ae41e0730,data/resized test 19
433,3e4d4c1674f1,data/resized test 19
434,3e7fc52c3541,data/resized test 19
435,3ef3056cc3d0,data/resized test 19
436,3f007a2060c0,data/resized test 19
437,3f03980754e7,data/resized test 19
438,3f3e750580d4,data/resized test 19
439,3f42e760cc3e,data/resized test 19
440,3f5420546cba,data/resized test 19
441,3fa9277a3780,data/resized test 19
442,3fd59954189f,data/resized test 19
443,3fdbdbc04be6,data/resized test 19
444,401279eb879a,data/resized test 19
445,408ea007f294,data/resized test 19
446,40b4ece7bd32,data/resized test 19
447,40d7a111ee7c,data/resized test 19
448,40ea59a0228b,data/resized test 19
449,41031e40b326,data/resized test 19
450,411ee15ad4cf,data/resized test 19
451,412d9433f93e,data/resized test 19
452,41484b672eb5,data/resized test 19
453,415c2ea2b6a9,data/resized test 19
454,41672ba8bcb1,data/resized test 19
455,417d3908ee21,data/resized test 19
456,417f1709a8a2,data/resized test 19
457,4180f7f0c182,data/resized test 19
458,419bb68a1ee0,data/resized test 19
459,41cc795c4acd,data/resized test 19
460,42442bd02e81,data/resized test 19
461,4247b91698fc,data/resized test 19
462,427110b0a05e,data/resized test 19
463,427264c3232d,data/resized test 19
464,42a25af5ad7e,data/resized test 19
465,42a390ee5583,data/resized test 19
466,42ae83e0089b,data/resized test 19
467,42bef0737ac1,data/resized test 19
468,430436d78a9f,data/resized test 19
469,430613d6ba11,data/resized test 19
